Type,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Region,Order State,Product Name,Shipping Mode,Year,Month,Sales,Days for shipment (scheduled),Order Item Discount Rate,Order Item Quantity
CASH,Accessories,Bronx,EE. UU.,Consumer,NY,Outdoors,LATAM,Mejicanos,El Salvador,Central America,San Salvador,Team Golf Pittsburgh Steelers Putter Grip,First Class,2015,2,124.9499969,1.0,0.0,5
CASH,Accessories,Brooklyn,EE. UU.,Home Office,NY,Outdoors,LATAM,La Romana,República Dominicana,Caribbean,La Romana,Team Golf Tennessee Volunteers Putter Grip,First Class,2015,2,74.97000122,1.0,0.200000003,3
CASH,Accessories,Brownsville,EE. UU.,Corporate,TX,Outdoors,LATAM,San Salvador,El Salvador,Central America,San Salvador,Team Golf New England Patriots Putter Grip,Standard Class,2015,1,49.97999954,4.0,0.25,2
CASH,Accessories,Buffalo,EE. UU.,Corporate,NY,Outdoors,LATAM,Santiago de los Caballeros,República Dominicana,Caribbean,Santiago de Chile,Team Golf St. Louis Cardinals Putter Grip,Standard Class,2015,1,124.9499969,4.0,0.119999997,5
CASH,Accessories,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Buenos Aires,Argentina,South America,Buenos Aires,Team Golf New England Patriots Putter Grip,Second Class,2015,3,74.97000122,2.0,0.090000004,3
CASH,Accessories,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Quetzaltenango,Guatemala,Central America,Quezaltenango,Team Golf St. Louis Cardinals Putter Grip,Second Class,2015,1,49.97999954,2.0,0.180000007,2
CASH,Accessories,Caguas,Puerto Rico,Corporate,PR,Outdoors,LATAM,Salvador,Brasil,South America,Bahía,Team Golf San Francisco Giants Putter Grip,Standard Class,2015,1,74.97000122,4.0,0.050000001,3
CASH,Accessories,Cordova,EE. UU.,Corporate,TN,Outdoors,LATAM,Mexico City,México,Central America,Distrito Federal,Team Golf Tennessee Volunteers Putter Grip,Second Class,2015,1,99.95999908,2.0,0.119999997,4
CASH,Accessories,Florissant,EE. UU.,Consumer,MO,Outdoors,LATAM,Manzanillo,Cuba,Caribbean,Granma,Team Golf Texas Longhorns Putter Grip,Standard Class,2015,2,124.9499969,4.0,0.01,5
CASH,Accessories,San Antonio,EE. UU.,Home Office,TX,Outdoors,LATAM,Dos Quebradas,Colombia,South America,Risaralda,Team Golf New England Patriots Putter Grip,Standard Class,2015,1,49.97999954,4.0,0.180000007,2
CASH,Accessories,Santa Cruz,EE. UU.,Consumer,CA,Outdoors,LATAM,San Luis Potosí,México,Central America,San Luis Potosí,Team Golf St. Louis Cardinals Putter Grip,Same Day,2015,2,74.97000122,0.0,0.07,3
CASH,Accessories,Van Nuys,EE. UU.,Consumer,CA,Outdoors,LATAM,Masaya,Nicaragua,Central America,Masaya,Team Golf Pittsburgh Steelers Putter Grip,First Class,2015,3,24.98999977,1.0,0.090000004,1
CASH,Accessories,Waukegan,EE. UU.,Consumer,IL,Outdoors,LATAM,Managua,Nicaragua,Central America,Managua,Team Golf Pittsburgh Steelers Putter Grip,First Class,2015,3,99.95999908,1.0,0.090000004,4
CASH,Accessories,Yauco,Puerto Rico,Corporate,PR,Outdoors,LATAM,Guadalajara,México,Central America,Jalisco,Team Golf St. Louis Cardinals Putter Grip,Standard Class,2015,3,49.97999954,4.0,0.159999996,2
CASH,Baseball & Softball,Astoria,EE. UU.,Consumer,NY,Fitness,LATAM,Buenos Aires,Argentina,South America,Buenos Aires,adidas Men's F10 Messi TRX FG Soccer Cleat,Standard Class,2015,3,239.9600067,4.0,0.150000006,4
CASH,Baseball & Softball,Caguas,Puerto Rico,Consumer,PR,Fitness,LATAM,Santo Domingo,República Dominicana,Caribbean,Santo Domingo,adidas Men's F10 Messi TRX FG Soccer Cleat,Standard Class,2015,2,119.9800034,4.0,0.100000001,2
CASH,Baseball & Softball,Caguas,Puerto Rico,Home Office,PR,Fitness,LATAM,Carrefour,Haití,Caribbean,Ouest,adidas Kids' F5 Messi FG Soccer Cleat,Standard Class,2015,2,104.9700012,4.0,0.029999999,3
CASH,Baseball & Softball,Houston,EE. UU.,Consumer,TX,Fitness,LATAM,Ilopango,El Salvador,Central America,San Salvador,adidas Kids' F5 Messi FG Soccer Cleat,Standard Class,2015,2,34.99000168,4.0,0.029999999,1
CASH,Baseball & Softball,Richmond,EE. UU.,Consumer,VA,Fitness,LATAM,Santiago de Chile,Chile,South America,Santiago de Chile,adidas Men's F10 Messi TRX FG Soccer Cleat,Standard Class,2015,3,299.9500122,4.0,0.180000007,5
CASH,Baseball & Softball,San Diego,EE. UU.,Consumer,CA,Fitness,LATAM,Presidente Prudente,Brasil,South America,São Paulo,adidas Kids' F5 Messi FG Soccer Cleat,Standard Class,2015,3,104.9700012,4.0,0.0,3
CASH,Boxing & MMA,Caguas,Puerto Rico,Consumer,PR,Footwear,LATAM,Buenos Aires,Argentina,South America,Buenos Aires,Under Armour Women's Micro G Skulpt Running S,Second Class,2015,3,274.8500061,2.0,0.25,5
CASH,Camping & Hiking,Apex,EE. UU.,Corporate,NC,Fan Shop,LATAM,Chihuahua,México,Central America,Chihuahua,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,1,299.980011,1.0,0.02,1
CASH,Camping & Hiking,Baltimore,EE. UU.,Consumer,MD,Fan Shop,LATAM,Guarujá,Brasil,South America,São Paulo,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1,599.960022,4.0,0.164999999,2
CASH,Camping & Hiking,Bell Gardens,EE. UU.,Consumer,CA,Fan Shop,LATAM,Curitiba,Brasil,South America,Paraná,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1,299.980011,4.0,0.100000001,1
CASH,Camping & Hiking,Bloomfield,EE. UU.,Consumer,NJ,Fan Shop,LATAM,Soyapango,El Salvador,Central America,San Salvador,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,2,299.980011,4.0,0.119999997,1
CASH,Camping & Hiking,Brockton,EE. UU.,Consumer,MA,Fan Shop,LATAM,Mixco,Guatemala,Central America,Guatemala,Diamondback Women's Serene Classic Comfort Bi,Second Class,2015,1,599.960022,2.0,0.1400000005,2
CASH,Camping & Hiking,Bronx,EE. UU.,Corporate,NY,Fan Shop,LATAM,Soledad Díez Gutiérrez,México,Central America,San Luis Potosí,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,3,299.980011,4.0,0.180000007,1
CASH,Camping & Hiking,Brooklyn,EE. UU.,Consumer,NY,Fan Shop,LATAM,Tegucigalpa,Honduras,Central America,Francisco Morazán,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,2,299.980011,4.0,0.0,1
CASH,Camping & Hiking,Brooklyn,EE. UU.,Home Office,NY,Fan Shop,LATAM,La Romana,República Dominicana,Caribbean,La Romana,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,2,299.980011,1.0,0.090000004,1
CASH,Camping & Hiking,Brownsville,EE. UU.,Corporate,TX,Fan Shop,LATAM,San Salvador,El Salvador,Central America,San Salvador,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1,299.980011,4.0,0.170000002,1
CASH,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Bogotá,Colombia,South America,Bogotá,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,3,299.980011,4.0,0.090000004,1
CASH,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Buenos Aires,Argentina,South America,Buenos Aires,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,3,299.980011,4.0,0.090000004,1
