,Type,Days for shipment (scheduled),Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount Rate,Order Item Quantity,Sales,Order Region,Order State,Product Name,Shipping Mode,Year,Month
0,CASH,4,Camping & Hiking,Hickory,EE. UU.,Consumer,NC,Fan Shop,LATAM,Mexico City,México,0.200000003,1,299.980011,Central America,Distrito Federal,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
1,PAYMENT,4,Water Sports,Chicago,EE. UU.,Consumer,IL,Fan Shop,LATAM,Dos Quebradas,Colombia,0.029999999,1,199.9900055,South America,Risaralda,Pelican Sunstream 100 Kayak,Standard Class,2015,1
2,PAYMENT,4,Women's Apparel,Chicago,EE. UU.,Consumer,IL,Golf,LATAM,Dos Quebradas,Colombia,0.090000004,5,250.0,South America,Risaralda,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
3,PAYMENT,4,Men's Footwear,Chicago,EE. UU.,Consumer,IL,Apparel,LATAM,Dos Quebradas,Colombia,0.170000002,1,129.9900055,South America,Risaralda,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
4,CASH,4,Indoor/Outdoor Games,San Antonio,EE. UU.,Home Office,TX,Fan Shop,LATAM,Dos Quebradas,Colombia,0.200000003,4,199.9199982,South America,Risaralda,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
5,CASH,4,Women's Apparel,San Antonio,EE. UU.,Home Office,TX,Golf,LATAM,Dos Quebradas,Colombia,0.180000007,3,150.0,South America,Risaralda,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
6,CASH,4,Accessories,San Antonio,EE. UU.,Home Office,TX,Outdoors,LATAM,Dos Quebradas,Colombia,0.180000007,2,49.97999954,South America,Risaralda,Team Golf New England Patriots Putter Grip,Standard Class,2015,1
7,CASH,4,Cleats,San Antonio,EE. UU.,Home Office,TX,Apparel,LATAM,Dos Quebradas,Colombia,0.01,5,299.9500122,South America,Risaralda,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
8,DEBIT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Dos Quebradas,Colombia,0.170000002,2,99.95999908,South America,Risaralda,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
9,DEBIT,4,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Dos Quebradas,Colombia,0.0,5,299.9500122,South America,Risaralda,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
