model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_1_AutoML_8_20240423_184508,0.3676268329483933,0.1351494883036659,0.2325889133975714,0.1063516588197897,0.1351494883036659
DeepLearning_grid_1_AutoML_8_20240423_184508_model_1,0.4115395284984142,0.169364783516697,0.2712470574224213,0.1013377857799459,0.169364783516697
GBM_5_AutoML_8_20240423_184508,0.6871059032992741,0.4721145223487115,0.4089028703506105,0.1744965132640956,0.4721145223487115
DRF_1_AutoML_8_20240423_184508,0.6997479532858838,0.4896471981277834,0.4230201920384265,0.1986038925466346,0.4896471981277834
GBM_3_AutoML_8_20240423_184508,0.7236812847836829,0.5237146019461619,0.4309706368785145,0.1847206785736956,0.5237146019461619
GLM_1_AutoML_8_20240423_184508,0.7290367826174721,0.5314946304092353,0.5430779011160916,0.2406435894800427,0.5314946304092353
GBM_grid_1_AutoML_8_20240423_184508_model_2,0.7902044635201393,0.6244230941671511,0.4745873069733057,0.2026934960551283,0.6244230941671511
GBM_4_AutoML_8_20240423_184508,0.8218184024042675,0.6753854865303025,0.4953121019285273,0.2099515540891313,0.6753854865303025
GBM_1_AutoML_8_20240423_184508,0.871069967786706,0.758762888779933,0.5983315521998589,0.2318167807222585,0.758762888779933
GBM_grid_1_AutoML_8_20240423_184508_model_1,0.8770950233276824,0.7692956799461877,0.5844973682489182,0.2140532478936169,0.7692956799461877
GBM_2_AutoML_8_20240423_184508,0.900809722699172,0.8114581565093593,0.5620184133520677,0.2272327988279412,0.8114581565093593
XRT_1_AutoML_8_20240423_184508,0.9772223326468732,0.9549634874237958,0.7565407823650797,0.2311062384598983,0.9549634874237958
