Type,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Region,Order State,Product Name,Shipping Mode,Year,Month,Sales,Days for shipment (scheduled),Order Item Discount Rate,Order Item Quantity
DEBIT,Water Sports,Miami,EE. UU.,Consumer,FL,Fan Shop,LATAM,São Paulo,Brasil,South America,São Paulo,Pelican Sunstream 100 Kayak,Second Class,2015,1,199.9900055,2.0,0.02,1
DEBIT,Water Sports,Miami,EE. UU.,Corporate,FL,Fan Shop,LATAM,San Martín,El Salvador,Central America,Cuscatlán,Pelican Sunstream 100 Kayak,Standard Class,2015,1,399.980011,4.0,0.155000001,2
DEBIT,Water Sports,Miami,EE. UU.,Corporate,FL,Fan Shop,LATAM,Santiago de Chile,Chile,South America,Santiago de Chile,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.059999999,1
DEBIT,Water Sports,Miami,EE. UU.,Corporate,FL,Fan Shop,LATAM,Tegucigalpa,Honduras,Central America,Francisco Morazán,Pelican Sunstream 100 Kayak,First Class,2015,1,199.9900055,1.0,0.159999996,1
DEBIT,Water Sports,Miami,EE. UU.,Home Office,FL,Fan Shop,LATAM,Araguaína,Brasil,South America,Tocantins,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.129999995,1
DEBIT,Water Sports,Michigan City,EE. UU.,Consumer,IN,Fan Shop,LATAM,San Pedro de Macorís,República Dominicana,Caribbean,San Pedro de Macorís,Pelican Sunstream 100 Kayak,First Class,2015,1,199.9900055,1.0,0.07,1
DEBIT,Water Sports,New Braunfels,EE. UU.,Consumer,TX,Fan Shop,LATAM,Cúcuta,Colombia,South America,Norte de Santander,Pelican Sunstream 100 Kayak,First Class,2015,1,199.9900055,1.0,0.200000003,1
DEBIT,Water Sports,New York,EE. UU.,Consumer,NY,Fan Shop,LATAM,Quetzaltenango,Guatemala,Central America,Quezaltenango,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.090000004,1
DEBIT,Water Sports,New York,EE. UU.,Corporate,NY,Fan Shop,LATAM,San Salvador,El Salvador,Central America,San Salvador,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.0,1
DEBIT,Water Sports,Newark,EE. UU.,Consumer,NJ,Fan Shop,LATAM,Cancún,México,Central America,Quintana Roo,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.25,1
DEBIT,Water Sports,Norfolk,EE. UU.,Corporate,VA,Fan Shop,LATAM,Zapopan,México,Central America,Jalisco,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.059999999,1
DEBIT,Water Sports,O Fallon,EE. UU.,Consumer,MO,Fan Shop,LATAM,Gómez Palacio,México,Central America,Durango,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.180000007,1
DEBIT,Water Sports,Ontario,EE. UU.,Corporate,CA,Fan Shop,LATAM,Fortaleza,Brasil,South America,Ceará,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.039999999,1
DEBIT,Water Sports,Philadelphia,EE. UU.,Consumer,PA,Fan Shop,LATAM,Huehuetenango,Guatemala,Central America,Huehuetenango,Pelican Sunstream 100 Kayak,Same Day,2015,1,199.9900055,0.0,0.159999996,1
DEBIT,Water Sports,Philadelphia,EE. UU.,Consumer,PA,Fan Shop,LATAM,Santa Catarina,México,Central America,Nuevo León,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.01,1
DEBIT,Water Sports,Philadelphia,EE. UU.,Home Office,PA,Fan Shop,LATAM,Valencia,Venezuela,South America,Carabobo,Pelican Sunstream 100 Kayak,Second Class,2015,1,199.9900055,2.0,0.0,1
DEBIT,Water Sports,Phoenix,EE. UU.,Consumer,AZ,Fan Shop,LATAM,Huehuetenango,Guatemala,Central America,Huehuetenango,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.090000004,1
DEBIT,Water Sports,Pompano Beach,EE. UU.,Consumer,FL,Fan Shop,LATAM,Choloma,Honduras,Central America,Cortés,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.029999999,1
DEBIT,Water Sports,Porterville,EE. UU.,Home Office,CA,Fan Shop,LATAM,Francisco Beltrão,Brasil,South America,Paraná,Pelican Sunstream 100 Kayak,Standard Class,2015,1,399.980011,4.0,0.005,2
DEBIT,Water Sports,Portland,EE. UU.,Home Office,OR,Fan Shop,LATAM,Mexico City,México,Central America,Distrito Federal,Pelican Sunstream 100 Kayak,Second Class,2015,1,199.9900055,2.0,0.01,1
DEBIT,Water Sports,Round Rock,EE. UU.,Consumer,TX,Fan Shop,LATAM,Maringá,Brasil,South America,Paraná,Pelican Sunstream 100 Kayak,Same Day,2015,1,199.9900055,0.0,0.090000004,1
DEBIT,Water Sports,Salt Lake City,EE. UU.,Home Office,UT,Fan Shop,LATAM,Santo Domingo,República Dominicana,Caribbean,Santo Domingo,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.02,1
DEBIT,Water Sports,San Diego,EE. UU.,Corporate,CA,Fan Shop,LATAM,Villa Nueva,Guatemala,Central America,Guatemala,Pelican Sunstream 100 Kayak,First Class,2015,1,199.9900055,1.0,0.029999999,1
DEBIT,Water Sports,San Francisco,EE. UU.,Consumer,CA,Fan Shop,LATAM,Apopa,El Salvador,Central America,San Salvador,Pelican Sunstream 100 Kayak,Standard Class,2015,1,399.980011,4.0,0.015,2
DEBIT,Water Sports,San Francisco,EE. UU.,Corporate,CA,Fan Shop,LATAM,San Miguelito,Panamá,Central America,Panamá,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.01,1
DEBIT,Water Sports,San Jose,EE. UU.,Corporate,CA,Fan Shop,LATAM,Medellín,Colombia,South America,Antioquía,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.170000002,1
DEBIT,Water Sports,San Juan,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Santiago de Cuba,Cuba,Caribbean,Santiago de Cuba,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.02,1
DEBIT,Water Sports,Santa Ana,EE. UU.,Corporate,CA,Fan Shop,LATAM,Fort-de-France,Martinica,Caribbean,Martinica,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.050000001,1
DEBIT,Water Sports,Santa Clara,EE. UU.,Home Office,CA,Fan Shop,LATAM,Managua,Nicaragua,Central America,Managua,Pelican Sunstream 100 Kayak,Second Class,2015,1,199.9900055,2.0,0.090000004,1
DEBIT,Water Sports,Stone Mountain,EE. UU.,Corporate,GA,Fan Shop,LATAM,Managua,Nicaragua,Central America,Managua,Pelican Sunstream 100 Kayak,Second Class,2015,1,199.9900055,2.0,0.170000002,1
DEBIT,Water Sports,Summerville,EE. UU.,Corporate,SC,Fan Shop,LATAM,Mexico City,México,Central America,Distrito Federal,Pelican Sunstream 100 Kayak,Second Class,2015,1,199.9900055,2.0,0.119999997,1
DEBIT,Water Sports,Sun Valley,EE. UU.,Corporate,CA,Fan Shop,LATAM,San Miguelito,Panamá,Central America,Panamá,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.170000002,1
DEBIT,Water Sports,Tampa,EE. UU.,Consumer,FL,Fan Shop,LATAM,Francisco Morato,Brasil,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.150000006,1
DEBIT,Water Sports,Troy,EE. UU.,Home Office,MI,Fan Shop,LATAM,Santa Clara,Cuba,Caribbean,Villa Clara,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.25,1
DEBIT,Water Sports,Tucson,EE. UU.,Corporate,AZ,Fan Shop,LATAM,Ribeirão Preto,Brasil,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.100000001,1
DEBIT,Water Sports,Tulare,EE. UU.,Home Office,CA,Fan Shop,LATAM,Zapopan,México,Central America,Jalisco,Pelican Sunstream 100 Kayak,Standard Class,2015,1,199.9900055,4.0,0.050000001,1
